filename,category,synth,type,mood,index,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std,centroid_min,centroid_max,contrast_mean,contrast_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,zcr_mean,zcr_std,rms_mean,rms_std,rms_min,rms_max,bandwidth_mean,bandwidth_std,chroma_mean,chroma_std,tempo
amb_brooktexture_cozy000_.wav,amb,brook,texture,cozy,000,-815.49097,24.053394,183.14557,16.629026,48.233597,10.344819,-14.778304,11.116409,-20.498348,11.027091,-16.21952,10.907544,-10.848733,10.327341,-7.7147865,8.887363,-11.189881,8.369249,-14.953709,8.711212,-17.073729,8.467211,-11.052335,8.378811,-5.228271,8.991519,1639.300173891921,461.0333898470277,793.1989900116401,5089.311053581036,13.346196872521201,3.90417522652927,1519.83579322285,1353.8836969357683,0.0020558108,0.03342474,0.025785233772050716,0.004586523682953802,0.0003976503,0.00017057749,3.4219504e-06,0.0013812785,3525.7415309544385,545.3119216872226,0.39746237,0.30777726,[123.046875]
amb_brooktexture_cozy001_.wav,amb,brook,texture,cozy,001,-789.7059,23.644398,197.09607,18.0177,44.058327,9.94813,-17.499292,11.417598,-21.249155,10.881776,-18.687798,10.480688,-12.162183,10.1458235,-7.4771557,8.819297,-12.297503,8.539769,-14.574049,8.782918,-16.903616,8.699615,-9.756988,8.58328,-4.9612823,9.018203,1397.3846830950529,412.29697968918595,701.562170364584,4652.661976353575,13.279022906550676,4.038996458323907,1342.6082724641676,1138.1251049752834,0.0016927441,0.033272244,0.025959658386163174,0.004553177656196745,0.0005893061,0.0002640047,2.7804144e-06,0.0026206828,3034.952356482527,539.8534551940384,0.39815494,0.31034046,[129.19921875]
amb_brooktexture_mystic002_.wav,amb,brook,texture,mystic,002,-841.4305,23.412136,167.46346,16.899343,53.71674,10.079938,-11.944182,11.1628,-22.506733,11.374494,-15.808009,11.339717,-9.858783,10.540976,-7.8599553,8.759848,-11.622513,8.800506,-15.24849,9.637113,-15.938902,8.8701315,-10.157143,8.660081,-3.4863765,8.949953,2018.9132053330761,554.8104952357769,904.0119999298804,5038.536796886302,13.329016189714523,3.7129217685939016,2205.978134474917,2100.782963327357,0.0025941313,0.033284113,0.026410255305953693,0.005511813216662802,0.00026457303,0.00010978542,3.859142e-06,0.00089576637,4127.728921516031,590.4524540912862,0.39567354,0.3086189,[151.99908088]
amb_brooktexture_mystic003_.wav,amb,brook,texture,mystic,003,-861.7252,21.614517,152.23549,15.852256,54.554317,10.709645,-9.617453,10.354991,-24.861675,10.460774,-17.662289,10.944577,-10.005017,10.469519,-7.174624,9.038848,-10.2312975,8.974987,-14.123879,9.66968,-14.841302,8.903939,-9.9473505,8.809257,-3.131957,9.01521,2514.5497540596084,574.720853240519,920.0577299846796,5269.663519148088,13.474227768675574,3.681001676001696,4169.298199335033,2805.7741495650102,0.0039060165,0.03456537,0.028843047994762956,0.005611458446632583,0.00017390594,7.822199e-05,3.16298e-06,0.0007590926,4735.3734956594935,552.8627216754759,0.40030125,0.3098579,[132.51201923]
amb_brooktexture_tense004_.wav,amb,brook,texture,tense,004,-782.2297,25.645155,198.42455,17.422722,38.767986,9.533237,-15.981326,10.103524,-18.134398,9.869074,-17.24216,10.463815,-11.026256,10.195956,-7.256993,8.314406,-12.287211,8.278337,-14.997495,9.458083,-17.469505,9.084444,-11.074528,8.858145,-6.266012,8.964093,1354.3747938553263,412.4829927337381,775.6312791083009,4781.5311965398,13.530115099806206,4.14013769813857,1358.0874879410144,1174.7721098924378,0.0015926571,0.033215486,0.025074076626240352,0.004418625187871425,0.0006547956,0.00024454476,3.6471029e-06,0.0015459886,2937.8113554574875,537.5101297118952,0.37178767,0.31534252,[126.04801829]
amb_brooktexture_tense005_.wav,amb,brook,texture,tense,005,-812.69476,21.988674,183.4514,16.21675,45.8046,9.773937,-15.197481,10.41002,-19.539782,9.828895,-16.024176,10.326254,-10.89102,10.189939,-7.3077292,8.286972,-11.23616,8.341702,-15.464346,9.492201,-17.596539,8.920978,-12.060208,8.434256,-5.653997,8.747718,1617.4324979068556,391.63630121020293,620.8862523479761,4501.080102874052,13.419725259536063,3.9125825491417245,1480.425520689774,1060.2649807461369,0.0018293079,0.033195462,0.025887519811190737,0.004463458991692304,0.00041105223,0.00018573827,3.8738435e-06,0.0022727097,3488.5683866974127,507.28928276214054,0.3791415,0.31279606,[112.34714674]
amb_firetexture_cozy000_.wav,amb,fire,texture,cozy,000,-565.8683,61.001007,163.85626,49.60291,92.31082,27.98039,43.9317,13.03596,23.02046,9.189581,20.07372,6.4919243,17.49849,6.406545,11.811934,4.827618,7.500862,4.3913465,6.068448,3.923672,5.5428267,4.1393824,4.1028066,3.7963283,2.9333956,3.5176885,381.55593934657725,447.5682110443621,0.0,5088.157550348988,13.037050378453541,3.7503712013333277,344.4725764220027,636.8347691181955,0.05861498,0.23483501,0.003207089790531335,0.0017919850643641855,0.031883553,0.010965609,0.0,0.04572103,1355.4098295348142,1183.910684101078,0.71899265,0.24841881,[139.67483108]
amb_firetexture_cozy001_.wav,amb,fire,texture,cozy,001,-504.79648,58.193928,195.99869,55.71952,87.71728,23.371855,24.626436,10.366235,15.643626,5.912795,18.979784,6.6399455,12.197843,4.6535506,5.902421,4.092319,6.1307397,3.7569447,5.627101,3.6773682,2.678079,3.885799,2.1548972,3.5673752,3.3802328,3.4841146,302.33794538629263,321.13909273915726,0.0,4544.549149255414,13.359420509799854,4.047797719095058,382.63973890923023,451.90945595964064,0.058486126,0.23439837,0.0038583532016348773,0.0018488024572819227,0.049013272,0.0170208,0.0,0.07369523,915.6725359126232,896.7556017071888,0.704419,0.2483729,[132.51201923]
amb_firetexture_mystic002_.wav,amb,fire,texture,mystic,002,-552.17175,61.56426,158.69797,48.126274,93.95921,28.934204,47.45501,13.296234,25.209793,9.977849,20.613297,6.690823,18.483698,6.336307,13.277105,5.038949,8.343072,4.233263,6.8769426,4.16873,6.157163,3.9064987,4.6182623,3.6791036,3.1246614,3.2080667,361.0810453633846,436.07545053162846,0.0,3864.859148985219,13.19833001321013,3.637781467670269,324.05417127895095,558.8616816784865,0.058605723,0.23480242,0.0030587427622615804,0.0017565263548328966,0.04147411,0.014479788,0.0,0.062348474,1291.7975363632352,1205.225249795188,0.72250545,0.24880196,[156.60511364]
amb_firetexture_mystic003_.wav,amb,fire,texture,mystic,003,-553.215,58.34771,167.68692,49.40285,94.14504,27.602978,42.56501,12.594547,22.008717,9.000307,19.819305,6.311928,17.520546,6.145973,11.423222,4.6043105,6.919277,4.0903788,6.175333,3.747978,5.450261,3.9086158,3.576441,3.495832,2.4567082,3.5940897,342.9502249858347,399.193246492743,0.0,4715.933278191385,13.086123181163572,3.862884192988252,318.6562021032016,532.5455616196632,0.05858938,0.23474857,0.0032503299557220706,0.0015545094798119418,0.036457848,0.012760171,0.0,0.055969514,1212.0299007129959,1111.8573989352226,0.7079387,0.25058967,[132.51201923]
