filename,category,synth,type,mood,index,x,y,z
amb_brooktexture_cozy000_.wav,amb,brook,texture,cozy,0,-0.711259829083448,-0.8915413140924289,-2.362426365267806
amb_brooktexture_cozy001_.wav,amb,brook,texture,cozy,1,-0.9428439408132642,-0.7939263569579489,-2.4187293106891063
amb_brooktexture_mystic002_.wav,amb,brook,texture,mystic,2,-0.3904552707016688,-1.1673368732491514,-2.51448684380731
amb_brooktexture_mystic003_.wav,amb,brook,texture,mystic,3,0.15281400234277032,-1.4950414245012287,-2.5884673277364088
amb_brooktexture_tense004_.wav,amb,brook,texture,tense,4,-0.9669485003179096,-0.7888605118406078,-2.354642169362668
amb_brooktexture_tense005_.wav,amb,brook,texture,tense,5,-0.8918998834171006,-0.7998516323440433,-2.346720100304409
amb_firetexture_cozy000_.wav,amb,fire,texture,cozy,0,0.6764576365566474,5.896276718061476,-0.3186888143557518
amb_firetexture_cozy001_.wav,amb,fire,texture,cozy,1,0.3890567522074635,5.575062714597029,-0.34664858199384474
amb_firetexture_mystic002_.wav,amb,fire,texture,mystic,2,0.4980213674582934,6.194057561815062,-0.07184061288135608
amb_firetexture_mystic003_.wav,amb,fire,texture,mystic,3,0.5480657533761453,5.953665294146787,-0.22469003583992428
amb_firetexture_tense004_.wav,amb,fire,texture,tense,4,0.5326297564915755,5.893440337520673,-0.33920241956369457
amb_firetexture_tense005_.wav,amb,fire,texture,tense,5,0.6495501736466182,5.628666656547615,-0.5402081890699475
amb_leavestexture_cozy000_.wav,amb,leaves,texture,cozy,0,3.829897915749027,-0.292543571640938,-0.4636395517637696
amb_leavestexture_cozy001_.wav,amb,leaves,texture,cozy,1,3.778120382452137,-0.3133614757834624,-0.45157179456223684
amb_leavestexture_mystic002_.wav,amb,leaves,texture,mystic,2,4.010622934205794,-0.4569002125898888,-0.49681236911970766
amb_leavestexture_mystic003_.wav,amb,leaves,texture,mystic,3,3.403351711031875,-0.12371579786677596,-0.4966622791063501
amb_leavestexture_tense004_.wav,amb,leaves,texture,tense,4,3.889605568085281,-0.41165046864834537,-0.42950342159725535
amb_leavestexture_tense005_.wav,amb,leaves,texture,tense,5,2.8445004932655245,0.10870161836488713,-1.0916271858295092
amb_raintexture_cozy000_.wav,amb,rain,texture,cozy,0,0.4775253786254665,5.64319841304848,-0.709625607874297
amb_raintexture_cozy001_.wav,amb,rain,texture,cozy,1,0.16352230101348061,5.983273946597352,-0.06621583878186818
amb_raintexture_mystic002_.wav,amb,rain,texture,mystic,2,-0.10913660429474122,5.902396227204435,0.05891872337204403
amb_raintexture_mystic003_.wav,amb,rain,texture,mystic,3,0.2863597101476865,5.782718068010146,-0.46990460989841376
amb_raintexture_tense004_.wav,amb,rain,texture,tense,4,0.19736223320653784,6.051660760756449,-0.30505871084882175
amb_raintexture_tense005_.wav,amb,rain,texture,tense,5,0.23492395346698136,5.943727908016582,-0.4610358641584778
fx_chimesingle_cozy000_.wav,fx,chime,single,cozy,0,5.918885792622355,-3.0067250788799957,5.791472033442603
fx_chimesingle_cozy001_.wav,fx,chime,single,cozy,1,4.815929804997566,-2.087694316070593,2.492178457434032
fx_chimesingle_cozy002_.wav,fx,chime,single,cozy,2,4.291909886653423,-1.8185959774933371,1.54350418004664
fx_chimesingle_cozy003_.wav,fx,chime,single,cozy,3,5.23270255400129,-2.746916339810004,3.6824260356213907
fx_chimesingle_cozy004_.wav,fx,chime,single,cozy,4,5.69512961015622,-2.253271201977255,2.749989824446264
fx_chimesingle_mystic005_.wav,fx,chime,single,mystic,5,5.56491378234916,-2.7476036900560628,4.408251649456654
