id,filename,category,synth,type,mood,index,x,y,z,cluster_id,color_hex
61,mus_flutesingle_mystic007_.wav,mus,flute,single,mystic,7,-48.479076548228285,-12.28669795847887,17.889378020392474,10,#e544e5
62,mus_flutesingle_mystic008_.wav,mus,flute,single,mystic,8,-45.6896840645069,-11.765470048903689,10.604761102250606,10,#e544e5
63,mus_flutesingle_mystic009_.wav,mus,flute,single,mystic,9,-43.63486649635535,2.916714562875494,32.10064795548821,3,#95e544
64,mus_flutesingle_mystic010_.wav,mus,flute,single,mystic,10,-36.11045345679118,23.97973489453574,39.1512801310143,3,#95e544
65,mus_flutesingle_mystic011_.wav,mus,flute,single,mystic,11,-38.08817359278977,15.343859840894284,38.729994267480066,3,#95e544
66,mus_flutesingle_tense012_.wav,mus,flute,single,tense,12,-48.65788516601319,-7.039644522011061,28.03768078877092,10,#e544e5
67,mus_flutesingle_tense013_.wav,mus,flute,single,tense,13,-48.79024285228547,-7.343037224553468,28.128662847630753,10,#e544e5
68,mus_flutesingle_tense014_.wav,mus,flute,single,tense,14,-36.23503744795077,24.304595304910833,39.559569620475685,3,#95e544
69,mus_flutesingle_tense015_.wav,mus,flute,single,tense,15,-49.389407836362736,13.658264021080116,49.586429951665814,3,#95e544
70,mus_flutesingle_tense016_.wav,mus,flute,single,tense,16,-49.32762759485426,13.615388913445942,49.44211854576066,3,#95e544
71,mus_flutesingle_tense017_.wav,mus,flute,single,tense,17,-38.10244766671631,15.515201209547246,38.59291839605151,3,#95e544
72,mus_harpsingle_cozy000_.wav,mus,harp,single,cozy,0,15.322493795085276,20.136394387546318,-22.01401183555542,4,#44e544
73,mus_harpsingle_cozy001_.wav,mus,harp,single,cozy,1,11.690385482502743,25.85955505158872,-20.277906437242198,4,#44e544
74,mus_harpsingle_cozy002_.wav,mus,harp,single,cozy,2,13.424371470036622,6.680503000688273,-31.39345154972077,4,#44e544
75,mus_harpsingle_cozy003_.wav,mus,harp,single,cozy,3,11.4149908456753,18.840942062276806,-27.234592000030943,4,#44e544
76,mus_harpsingle_cozy004_.wav,mus,harp,single,cozy,4,18.514578199964433,4.216037103778633,-35.3082298458379,4,#44e544
77,mus_harpsingle_cozy005_.wav,mus,harp,single,cozy,5,14.71097701559014,12.59237657931137,-23.896372690987505,4,#44e544
78,mus_harpsingle_mystic006_.wav,mus,harp,single,mystic,6,15.697474089230445,16.920144722079378,-29.23896006966551,4,#44e544
79,mus_harpsingle_mystic007_.wav,mus,harp,single,mystic,7,15.819916756606714,13.767735505785506,-34.36331873890134,4,#44e544
80,mus_harpsingle_mystic008_.wav,mus,harp,single,mystic,8,16.57189844898364,20.54161345569193,-26.555065661769728,4,#44e544
81,mus_harpsingle_mystic009_.wav,mus,harp,single,mystic,9,16.40545870660436,8.155998048799956,-32.97958233656561,4,#44e544
82,mus_harpsingle_mystic010_.wav,mus,harp,single,mystic,10,18.947422476142307,9.928160256454511,-35.303782877149025,4,#44e544
83,mus_harpsingle_mystic011_.wav,mus,harp,single,mystic,11,16.915109291913076,14.063699071686738,-30.652979333294777,4,#44e544
84,mus_harpsingle_tense012_.wav,mus,harp,single,tense,12,18.580153076219123,13.930018004587916,-29.1898145644941,4,#44e544
85,mus_harpsingle_tense013_.wav,mus,harp,single,tense,13,18.374811146223863,1.3653954813440599,-37.12819577777914,4,#44e544
86,mus_harpsingle_tense014_.wav,mus,harp,single,tense,14,19.563172242880846,6.596452390301715,-32.999837972684816,4,#44e544
87,mus_harpsingle_tense015_.wav,mus,harp,single,tense,15,11.700428970015826,18.21805979917547,-29.204165866329447,4,#44e544
88,mus_harpsingle_tense016_.wav,mus,harp,single,tense,16,12.384073855257373,15.580868948091439,-30.958980212795566,4,#44e544
89,mus_harpsingle_tense017_.wav,mus,harp,single,tense,17,17.035957197585873,14.602662183650553,-30.840870314670916,4,#44e544
90,mus_ocarinamelody_cozy003_.wav,mus,ocarina,melody,cozy,3,-27.80144530176215,-28.68476411397647,-13.359536681405753,11,#e54495
91,mus_ocarinamelody_cozy004_.wav,mus,ocarina,melody,cozy,4,-28.45088857780489,-28.050235784708484,-12.595452749179117,11,#e54495
92,mus_ocarinamelody_cozy005_.wav,mus,ocarina,melody,cozy,5,-30.116154105331326,-25.761772766603546,-11.548115215925552,11,#e54495
93,mus_ocarinamelody_cozy006_.wav,mus,ocarina,melody,cozy,6,-30.50936458006417,-31.44293087093551,-10.197823929173392,11,#e54495
94,mus_ocarinamelody_cozy007_.wav,mus,ocarina,melody,cozy,7,-28.729651635820346,-22.178869619958903,-10.006530169913182,11,#e54495
95,mus_ocarinamelody_cozy008_.wav,mus,ocarina,melody,cozy,8,-28.54436742611275,-20.878127683608007,-5.787519728039093,0,#e54444
96,mus_ocarinamelody_mystic012_.wav,mus,ocarina,melody,mystic,12,-26.637932630622657,-28.077723962351097,-13.33075770056842,11,#e54495
97,mus_ocarinamelody_mystic013_.wav,mus,ocarina,melody,mystic,13,-31.043325733243016,-21.832550708283044,-0.6463147906204699,0,#e54444
98,mus_ocarinamelody_mystic014_.wav,mus,ocarina,melody,mystic,14,-31.059941653886984,-25.375713359478276,-5.318711019200487,11,#e54495
99,mus_ocarinamelody_mystic015_.wav,mus,ocarina,melody,mystic,15,-26.451841478236865,-32.387335201569925,-9.53907447660678,11,#e54495
100,mus_ocarinamelody_mystic016_.wav,mus,ocarina,melody,mystic,16,-7.130246902743416,-25.7698718287066,-31.99190372481768,6,#44e5e5
101,mus_ocarinamelody_mystic017_.wav,mus,ocarina,melody,mystic,17,-25.655811451348388,-28.82926791395538,-11.351026608783366,11,#e54495
102,mus_ocarinamelody_tense021_.wav,mus,ocarina,melody,tense,21,-27.702200914233053,-33.044277695929594,-13.5394864337141,11,#e54495
103,mus_ocarinamelody_tense022_.wav,mus,ocarina,melody,tense,22,-25.009414376072293,-27.222042432919004,-14.780225495848304,11,#e54495
104,mus_ocarinamelody_tense023_.wav,mus,ocarina,melody,tense,23,-28.391776567104564,-31.03651981049656,-10.540895190347696,11,#e54495
105,mus_ocarinamelody_tense024_.wav,mus,ocarina,melody,tense,24,-17.40875576403788,-28.30525953048224,-22.543099355342726,6,#44e5e5
106,mus_ocarinamelody_tense025_.wav,mus,ocarina,melody,tense,25,-22.152409274383018,-19.460069738859463,-11.43717051887785,11,#e54495
107,mus_ocarinamelody_tense026_.wav,mus,ocarina,melody,tense,26,-30.209944603095046,-20.11199330823311,-4.788810978595356,0,#e54444
108,mus_ocarinasingle_cozy000_.wav,mus,ocarina,single,cozy,0,-23.269599327328415,-5.241813256819349,-0.5123818713597955,0,#e54444
109,mus_ocarinasingle_cozy001_.wav,mus,ocarina,single,cozy,1,-25.021988919107358,-15.906759943288723,-3.8443253027031172,0,#e54444
110,mus_ocarinasingle_cozy002_.wav,mus,ocarina,single,cozy,2,-21.541816114926966,-20.820625124473928,-24.95919287158513,6,#44e5e5
111,mus_ocarinasingle_mystic009_.wav,mus,ocarina,single,mystic,9,-24.33116656483528,-10.658904655970666,-4.193601267883523,0,#e54444
112,mus_ocarinasingle_mystic010_.wav,mus,ocarina,single,mystic,10,-28.021845754086034,-16.662717494986264,-8.205699653462242,0,#e54444
113,mus_ocarinasingle_mystic011_.wav,mus,ocarina,single,mystic,11,-22.681570157744858,-18.2009159169506,-15.17061310694738,11,#e54495
114,mus_ocarinasingle_tense018_.wav,mus,ocarina,single,tense,18,-20.977497258639467,-19.361966098789008,-15.949691729624282,11,#e54495
115,mus_ocarinasingle_tense019_.wav,mus,ocarina,single,tense,19,-27.775022214803656,-17.432177284539506,-7.764669342496694,0,#e54444
116,mus_ocarinasingle_tense020_.wav,mus,ocarina,single,tense,20,-23.521027544856306,-5.020176825699766,0.5349183002209046,0,#e54444
117,mus_padtexture_cozy000_.wav,mus,pad,texture,cozy,0,3.2982458094038094,29.06689091313175,3.2514164332811157,8,#4444e5
118,mus_padtexture_cozy001_.wav,mus,pad,texture,cozy,1,1.1892091534855838,38.782978541828086,4.264242904885901,8,#4444e5
119,mus_padtexture_cozy002_.wav,mus,pad,texture,cozy,2,1.4939046797464328,38.87551573429203,3.818445635656392,8,#4444e5
120,mus_padtexture_cozy003_.wav,mus,pad,texture,cozy,3,0.9997617030858907,29.786570358966678,7.655167857817383,8,#4444e5
121,mus_padtexture_cozy004_.wav,mus,pad,texture,cozy,4,0.613292688340035,38.99376949708568,5.637526090637986,8,#4444e5
122,mus_padtexture_mystic005_.wav,mus,pad,texture,mystic,5,2.2455045457801717,31.58335226343137,4.341745204300071,8,#4444e5
123,mus_padtexture_mystic006_.wav,mus,pad,texture,mystic,6,0.9948441571779619,36.219931076267194,5.277059434443319,8,#4444e5
124,mus_padtexture_mystic007_.wav,mus,pad,texture,mystic,7,0.81580195720592,29.807427460496992,7.890113951407525,8,#4444e5
125,mus_padtexture_mystic008_.wav,mus,pad,texture,mystic,8,1.4209574617925829,22.479765165361027,0.7158014993148072,8,#4444e5
126,mus_padtexture_mystic009_.wav,mus,pad,texture,mystic,9,1.2696781541627007,37.94132996775063,5.308847214873864,8,#4444e5
127,mus_padtexture_tense010_.wav,mus,pad,texture,tense,10,-3.0678518022867207,35.81734636593515,14.203324650310407,8,#4444e5
128,mus_padtexture_tense011_.wav,mus,pad,texture,tense,11,-1.9839310315877199,36.74128036287665,12.004353671246525,8,#4444e5
129,mus_padtexture_tense012_.wav,mus,pad,texture,tense,12,-0.11493211124484042,41.35740096007898,10.187607061222431,8,#4444e5
130,mus_padtexture_tense013_.wav,mus,pad,texture,tense,13,-0.298648134521229,39.71547243785741,10.192851434829468,8,#4444e5
131,mus_padtexture_tense014_.wav,mus,pad,texture,tense,14,-2.609161669689438,36.91691582774553,13.20303672891777,8,#4444e5
132,sfx_birdtexture_cozy000_.wav,sfx,bird,texture,cozy,0,-8.754486632088215,-10.244430770380403,-12.557741340109613,9,#9544e5
133,sfx_birdtexture_cozy001_.wav,sfx,bird,texture,cozy,1,-11.063673202897062,-7.1561762263546695,-9.265571229839725,9,#9544e5
134,sfx_birdtexture_mystic002_.wav,sfx,bird,texture,mystic,2,-9.581678550981163,-2.3931703203429695,-7.220293165437745,9,#9544e5
135,sfx_birdtexture_mystic003_.wav,sfx,bird,texture,mystic,3,-9.142155569031742,-10.317734663034575,-10.25230561499739,9,#9544e5
136,sfx_birdtexture_tense004_.wav,sfx,bird,texture,tense,4,-10.07440924245701,-9.249177156561718,-10.589562629936152,9,#9544e5
137,sfx_birdtexture_tense005_.wav,sfx,bird,texture,tense,5,-7.888593799237202,-8.430328427247687,-10.899551213477812,9,#9544e5
138,sfx_owltexture_cozy000_.wav,sfx,owl,texture,cozy,0,-19.71922131288877,-23.910214948600085,-36.0839554137124,6,#44e5e5
139,sfx_owltexture_cozy001_.wav,sfx,owl,texture,cozy,1,-24.497564477072665,-22.157389816126294,-31.564996097186675,6,#44e5e5
140,sfx_owltexture_mystic002_.wav,sfx,owl,texture,mystic,2,-30.486042220975516,-21.92805450357462,-30.317769318648025,6,#44e5e5
141,sfx_owltexture_mystic003_.wav,sfx,owl,texture,mystic,3,-38.08481185436896,-18.392153872878765,-5.491040406690044,0,#e54444
142,sfx_owltexture_tense004_.wav,sfx,owl,texture,tense,4,-14.607435453561418,-20.708651778035318,-33.6566727791327,6,#44e5e5
143,sfx_owltexture_tense005_.wav,sfx,owl,texture,tense,5,-36.39429626709053,-16.636581957906614,-8.935024495277105,0,#e54444
144,sfx_whooshtexture_cozy000_.wav,sfx,whoosh,texture,cozy,0,11.877076177735713,7.427544860087716,-2.5416536666584664,1,#e59544
145,sfx_whooshtexture_cozy001_.wav,sfx,whoosh,texture,cozy,1,16.573703186068304,3.09725248306255,-4.2563514952053385,1,#e59544
146,sfx_whooshtexture_mystic002_.wav,sfx,whoosh,texture,mystic,2,15.231437379921406,4.82922753062982,-2.395236572029512,1,#e59544
147,sfx_whooshtexture_mystic003_.wav,sfx,whoosh,texture,mystic,3,13.489701803264662,4.310464318504427,-5.94097277795514,1,#e59544
148,sfx_whooshtexture_tense004_.wav,sfx,whoosh,texture,tense,4,18.360047561711966,2.3045737440994656,-4.973860345586308,1,#e59544
149,sfx_whooshtexture_tense005_.wav,sfx,whoosh,texture,tense,5,18.024713883389406,2.1075696370760038,-4.024628622311911,1,#e59544
